uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
-3.30915e-07,-5.86237e-06,-6.19242e-08,1,0.002925,0.007925,0,0.0075,65
-3.30855e-07,-5.86238e-06,-6.17196e-08,1,0.00297,0.00797,0,0.0075,66
-3.30721e-07,-5.86249e-06,-6.1594e-08,1,0.003015,0.008015,0,0.0075,67
-3.30436e-07,-5.8628e-06,-6.16265e-08,1,0.00306,0.00806,0,0.0075,68
-3.30152e-07,-5.8631e-06,-6.1659e-08,1,0.003105,0.008105,0,0.0075,69
-3.29867e-07,-5.86341e-06,-6.16915e-08,1,0.00315,0.00815,0,0.0075,70
-3.29583e-07,-5.86372e-06,-6.1724e-08,1,0.003195,0.008195,0,0.0075,71
-3.29298e-07,-5.86403e-06,-6.17565e-08,1,0.00324,0.00824,0,0.0075,72
-3.29014e-07,-5.86433e-06,-6.1789e-08,1,0.003285,0.008285,0,0.0075,73
-3.28729e-07,-5.86464e-06,-6.18215e-08,1,0.00333,0.00833,0,0.0075,74
-3.28445e-07,-5.86495e-06,-6.1854e-08,1,0.003375,0.008375,0,0.0075,75
-3.28161e-07,-5.86526e-06,-6.18864e-08,1,0.00342,0.00842,0,0.0075,76
-3.27876e-07,-5.86556e-06,-6.19189e-08,1,0.003465,0.008465,0,0.0075,77
-3.27592e-07,-5.86587e-06,-6.19514e-08,1,0.00351,0.00851,0,0.0075,78
-3.27307e-07,-5.86618e-06,-6.19839e-08,1,0.003555,0.008555,0,0.0075,79
-3.27023e-07,-5.86649e-06,-6.20164e-08,1,0.0036,0.0086,0,0.0075,80
-3.26738e-07,-5.86679e-06,-6.20489e-08,1,0.003645,0.008645,0,0.0075,81
-3.26454e-07,-5.8671e-06,-6.20814e-08,1,0.00369,0.00869,0,0.0075,82
-3.26169e-07,-5.86741e-06,-6.21139e-08,1,0.003735,0.008735,0,0.0075,83
-3.25885e-07,-5.86771e-06,-6.21464e-08,1,0.00378,0.00878,0,0.0075,84
-3.256e-07,-5.86802e-06,-6.21789e-08,1,0.003825,0.008825,0,0.0075,85
-3.25316e-07,-5.86833e-06,-6.22113e-08,1,0.00387,0.00887,0,0.0075,86
-3.25032e-07,-5.86864e-06,-6.22438e-08,1,0.003915,0.008915,0,0.0075,87
-3.24747e-07,-5.86894e-06,-6.22763e-08,1,0.00396,0.00896,0,0.0075,88
-3.24463e-07,-5.86925e-06,-6.23088e-08,1,0.004005,0.009005,0,0.0075,89
-3.24178e-07,-5.86956e-06,-6.23413e-08,1,0.00405,0.00905,0,0.0075,90
-3.23894e-07,-5.86987e-06,-6.23738e-08,1,0.004095,0.009095,0,0.0075,91
-3.23609e-07,-5.87017e-06,-6.24063e-08,1,0.00414,0.00914,0,0.0075,92
-3.23325e-07,-5.87048e-06,-6.24388e-08,1,0.004185,0.009185,0,0.0075,93
-3.2304e-07,-5.87079e-06,-6.24713e-08,1,0.00423,0.00923,0,0.0075,94
-3.22756e-07,-5.8711e-06,-6.25038e-08,1,0.004275,0.009275,0,0.0075,95
-3.22472e-07,-5.8714e-06,-6.25362e-08,1,0.00432,0.00932,0,0.0075,96
-3.22187e-07,-5.87171e-06,-6.25687e-08,1,0.004365,0.009365,0,0.0075,97
-3.21903e-07,-5.87202e-06,-6.26012e-08,1,0.00441,0.00941,0,0.0075,98
-3.21618e-07,-5.87233e-06,-6.26337e-08,1,0.004455,0.009455,0,0.0075,99
-3.21334e-07,-5.87263e-06,-6.26662e-08,1,0.0045,0.0095,0,0.0075,100
-3.21049e-07,-5.87294e-06,-6.26987e-08,1,0.004545,0.009545,0,0.0075,101
-3.20765e-07,-5.87325e-06,-6.27312e-08,1,0.00459,0.00959,0,0.0075,102
-3.2048e-07,-5.87356e-06,-6.27637e-08,1,0.004635,0.009635,0,0.0075,103
-3.20163e-07,-5.87392e-06,-6.2672e-08,1,0.00468,0.00968,0,0.0075,104
-3.1982e-07,-5.87433e-06,-6.24866e-08,1,0.004725,0.009725,0,0.0075,105
-3.19477e-07,-5.87473e-06,-6.23012e-08,1,0.00477,0.00977,0,0.0075,106
-3.19134e-07,-5.87514e-06,-6.21158e-08,1,0.004815,0.009815,0,0.0075,107
-3.18791e-07,-5.87554e-06,-6.19304e-08,1,0.00486,0.00986,0,0.0075,108
-3.18447e-07,-5.87595e-06,-6.1745e-08,1,0.004905,0.009905,0,0.0075,109
-3.18104e-07,-5.87636e-06,-6.15596e-08,1,0.00495,0.00995,0,0.0075,110
-3.17761e-07,-5.87676e-06,-6.13742e-08,1,0.004995,0.009995,0,0.0075,111
-3.17418e-07,-5.87717e-06,-6.11888e-08,1,0.00504,0.01004,0,0.0075,112
-3.17075e-07,-5.87757e-06,-6.10034e-08,1,0.005085,0.010085,0,0.0075,113
-3.16732e-07,-5.87798e-06,-6.0818e-08,1,0.00513,0.01013,0,0.0075,114
-3.16389e-07,-5.87839e-06,-6.06326e-08,1,0.005175,0.010175,0,0.0075,115
-3.16046e-07,-5.87879e-06,-6.04472e-08,1,0.00522,0.01022,0,0.0075,116
-3.15703e-07,-5.8792e-06,-6.02618e-08,1,0.005265,0.010265,0,0.0075,117
-3.1536e-07,-5.8796e-06,-6.00764e-08,1,0.00531,0.01031,0,0.0075,118
-3.15017e-07,-5.88001e-06,-5.9891e-08,1,0.005355,0.010355,0,0.0075,119
-3.14674e-07,-5.88042e-06,-5.97056e-08,1,0.0054,0.0104,0,0.0075,120
-3.14331e-07,-5.88082e-06,-5.95202e-08,1,0.005445,0.010445,0,0.0075,121
-3.13988e-07,-5.88123e-06,-5.93348e-08,1,0.00549,0.01049,0,0.0075,122
-3.13645e-07,-5.88163e-06,-5.91494e-08,1,0.005535,0.010535,0,0.0075,123
-3.13302e-07,-5.88204e-06,-5.8964e-08,1,0.00558,0.01058,0,0.0075,124
-3.12959e-07,-5.88245e-06,-5.87786e-08,1,0.005625,0.010625,0,0.0075,125
-3.12616e-07,-5.88285e-06,-5.85932e-08,1,0.00567,0.01067,0,0.0075,126
-3.12273e-07,-5.88326e-06,-5.84078e-08,1,0.005715,0.010715,0,0.0075,127
-3.1193e-07,-5.88366e-06,-5.82224e-08,1,0.00576,0.01076,0,0.0075,128
-3.11587e-07,-5.88407e-06,-5.8037e-08,1,0.005805,0.010805,0,0.0075,129
-3.11244e-07,-5.88448e-06,-5.78516e-08,1,0.00585,0.01085,0,0.0075,130
-3.10901e-07,-5.88488e-06,-5.76662e-08,1,0.005895,0.010895,0,0.0075,131
-3.10558e-07,-5.88529e-06,-5.74808e-08,1,0.00594,0.01094,0,0.0075,132
-3.10215e-07,-5.88569e-06,-5.72954e-08,1,0.005985,0.010985,0,0.0075,133
-3.09872e-07,-5.8861e-06,-5.711e-08,1,0.00603,0.01103,0,0.0075,134
-3.09529e-07,-5.88651e-06,-5.69246e-08,1,0.006075,0.011075,0,0.0075,135
-3.09186e-07,-5.88691e-06,-5.67392e-08,1,0.00612,0.01112,0,0.0075,136
-3.08843e-07,-5.88732e-06,-5.65537e-08,1,0.006165,0.011165,0,0.0075,137
-3.085e-07,-5.88772e-06,-5.63683e-08,1,0.00621,0.01121,0,0.0075,138
-3.08157e-07,-5.88813e-06,-5.61829e-08,1,0.006255,0.011255,0,0.0075,139
-3.07814e-07,-5.88854e-06,-5.59975e-08,1,0.0063,0.0113,0,0.0075,140
-3.07471e-07,-5.88894e-06,-5.58121e-08,1,0.006345,0.011345,0,0.0075,141
-3.07128e-07,-5.88935e-06,-5.56267e-08,1,0.00639,0.01139,0,0.0075,142
-3.06785e-07,-5.88976e-06,-5.54413e-08,1,0.006435,0.011435,0,0.0075,143
-3.06442e-07,-5.89016e-06,-5.52559e-08,1,0.00648,0.01148,0,0.0075,144
-3.06099e-07,-5.89057e-06,-5.50705e-08,1,0.006525,0.011525,0,0.0075,145
-3.05756e-07,-5.89097e-06,-5.48851e-08,1,0.00657,0.01157,0,0.0075,146
-3.05413e-07,-5.89138e-06,-5.46997e-08,1,0.006615,0.011615,0,0.0075,147
-3.0507e-07,-5.89179e-06,-5.45143e-08,1,0.00666,0.01166,0,0.0075,148
-3.04727e-07,-5.89219e-06,-5.43289e-08,1,0.006705,0.011705,0,0.0075,149
-3.04384e-07,-5.8926e-06,-5.41435e-08,1,0.00675,0.01175,0,0.0075,150
-3.04041e-07,-5.893e-06,-5.39581e-08,1,0.006795,0.011795,0,0.0075,151
