uN:0,uN:1,uN:2,arc_length,Points:0,Points:1,Points:2,Point ID,Block Number
-3.08498e-07,-6.07984e-06,-5.94378e-08,0.0105518,0.00739613,-0.001219,0.0075,57,2
-3.11714e-07,-6.07695e-06,-6.00192e-08,0.0106724,0.00741675,-0.00110017,0.0075,58,2
-3.18101e-07,-6.07158e-06,-6.1128e-08,0.0109198,0.00744703,-0.000854625,0.0075,59,2
-3.21353e-07,-6.06871e-06,-6.16891e-08,0.0110405,0.00746179,-0.000734923,0.0075,60,2
-3.27764e-07,-6.0634e-06,-6.27537e-08,0.0112879,0.00748,-0.000488187,0.0075,61,2
-3.31011e-07,-6.06057e-06,-6.33137e-08,0.0114085,0.00748887,-0.000367904,0.0075,62,2
-3.37355e-07,-6.05533e-06,-6.43718e-08,0.0116559,0.00749494,-0.000120573,0.0075,63,2
-3.40606e-07,-6.05251e-06,-6.49071e-08,0.0117765,0.0074979,1.60417e-19,0.0075,64,2
-3.46906e-07,-6.04729e-06,-6.59128e-08,0.0120239,0.00749183,0.000247331,0.0075,65,2
-3.5012e-07,-6.04449e-06,-6.64428e-08,0.0121445,0.00748887,0.000367904,0.0075,66,2
-3.56284e-07,-6.03932e-06,-6.74337e-08,0.0123919,0.00747067,0.00061464,0.0075,67,2
-3.5947e-07,-6.03652e-06,-6.79348e-08,0.0125125,0.00746179,0.000734923,0.0075,68,2
-3.65528e-07,-6.03132e-06,-6.88653e-08,0.0127599,0.00743151,0.000980468,0.0075,69,2
-3.68645e-07,-6.02853e-06,-6.9357e-08,0.0128805,0.00741675,0.00110017,0.0075,70,2
-3.74505e-07,-6.02333e-06,-7.02653e-08,0.0131279,0.00737445,0.00134393,0.0075,71,2
-3.77565e-07,-6.02051e-06,-7.07239e-08,0.0132486,0.00735383,0.00146277,0.0075,72,2
-3.83267e-07,-6.01522e-06,-7.15635e-08,0.013496,0.00729962,0.00170416,0.0075,73,2
-3.86229e-07,-6.01238e-06,-7.20092e-08,0.0136166,0.0072732,0.00182184,0.0075,74,2
-3.9168e-07,-6.00703e-06,-7.28202e-08,0.013864,0.00720721,0.00206028,0.0075,75,2
-3.94563e-07,-6.00413e-06,-7.32286e-08,0.0139846,0.00717504,0.00217653,0.0075,76,2
-3.99815e-07,-5.99861e-06,-7.3963e-08,0.014232,0.00709744,0.00241144,0.0075,77,2
-4.02577e-07,-5.99566e-06,-7.43554e-08,0.0143526,0.0070596,0.00252597,0.0075,78,2
-4.07538e-07,-5.99002e-06,-7.50556e-08,0.0146,0.00697056,0.00275679,0.0075,79,2
-4.10205e-07,-5.98696e-06,-7.54068e-08,0.0147206,0.00692716,0.00286932,0.0075,80,2
-4.14946e-07,-5.98105e-06,-7.60234e-08,0.014968,0.0068269,0.0030955,0.0075,81,2
-4.17476e-07,-5.97792e-06,-7.63558e-08,0.0150886,0.00677802,0.00320577,0.0075,82,2
-4.21902e-07,-5.97182e-06,-7.69334e-08,0.015336,0.00666678,0.00342675,0.0075,83,2
-4.2433e-07,-5.96853e-06,-7.72213e-08,0.0154566,0.00661256,0.00353449,0.0075,84,2
-4.28536e-07,-5.96207e-06,-7.77093e-08,0.015704,0.00649061,0.00374975,0.0075,85,2
-4.30819e-07,-5.95868e-06,-7.79761e-08,0.0158247,0.00643116,0.00385469,0.0075,86,2
-4.34706e-07,-5.95194e-06,-7.8421e-08,0.0160721,0.0062988,0.00406371,0.0075,87,2
-4.36892e-07,-5.94835e-06,-7.86406e-08,0.0161927,0.00623428,0.00416561,0.0075,88,2
-4.40579e-07,-5.94116e-06,-7.89913e-08,0.0164401,0.00609182,0.00436788,0.0075,89,2
-4.42622e-07,-5.93742e-06,-7.91879e-08,0.0165607,0.00602237,0.00446649,0.0075,90,2
-4.46006e-07,-5.92988e-06,-7.94925e-08,0.0168081,0.00587016,0.00466153,0.0075,91,2
-4.47968e-07,-5.92589e-06,-7.96398e-08,0.0169287,0.00579595,0.00475662,0.0075,92,2
-4.51196e-07,-5.91781e-06,-7.9847e-08,0.0171761,0.00563436,0.00494395,0.0075,93,2
-4.53027e-07,-5.91364e-06,-7.997e-08,0.0172967,0.00555558,0.00503528,0.0075,94,2
-4.54802e-07,-5.90919e-06,-8.00423e-08,0.0174173,0.00547241,0.00512263,0.0075,95,2
-4.57767e-07,-5.90069e-06,-8.02011e-08,0.0176647,0.00530182,0.00530182,0.0075,96,2
-4.60643e-07,-5.89157e-06,-8.02588e-08,0.0179121,0.00512263,0.00547241,0.0075,97,2
-4.62308e-07,-5.88691e-06,-8.03072e-08,0.0180328,0.00503528,0.00555558,0.0075,98,2
-4.64977e-07,-5.87732e-06,-8.03168e-08,0.0182802,0.00484794,0.00571718,0.0075,99,2
-4.66625e-07,-5.87234e-06,-8.03133e-08,0.0184008,0.00475662,0.00579595,0.0075,100,2
-4.69286e-07,-5.86204e-06,-8.02275e-08,0.0186482,0.00456158,0.00594817,0.0075,101,2
-4.70856e-07,-5.85684e-06,-8.0197e-08,0.0187688,0.00446649,0.00602237,0.0075,102,2
-4.73392e-07,-5.84607e-06,-8.00586e-08,0.0190162,0.00426422,0.00616483,0.0075,103,2
-4.74989e-07,-5.84051e-06,-7.9979e-08,0.0191368,0.00416561,0.00623428,0.0075,104,2
-4.7762e-07,-5.82897e-06,-7.97446e-08,0.0193842,0.00395659,0.00636664,0.0075,105,2
-4.79177e-07,-5.82318e-06,-7.96395e-08,0.0195048,0.00385469,0.00643116,0.0075,106,2
-4.81766e-07,-5.81116e-06,-7.93586e-08,0.0197522,0.00363943,0.00655311,0.0075,107,2
-4.83405e-07,-5.805e-06,-7.92033e-08,0.0198728,0.00353449,0.00661256,0.0075,108,2
-4.8621e-07,-5.7922e-06,-7.8825e-08,0.0201202,0.0033135,0.00672379,0.0075,109,2
