uN:0,uN:1,uN:2,arc_length,Points:0,Points:1,Points:2,Point ID,Block Number
-1.66912e-07,-6.27788e-06,-2.26032e-08,0,0,-0.0074918,0.0075,0,2
-1.66875e-07,-6.27409e-06,-2.30773e-08,0.000253114,0.000252809,-0.00747938,0.0075,1,2
-1.67237e-07,-6.26581e-06,-2.29932e-08,0.000735211,0.000734325,-0.00745573,0.0075,2,2
-1.67819e-07,-6.26139e-06,-2.31494e-08,0.000988325,0.0009847,-0.00741859,0.0075,3,2
-1.68404e-07,-6.25326e-06,-2.43308e-08,0.00147042,0.00146158,-0.00734785,0.0075,4,2
-1.69277e-07,-6.249e-06,-2.51088e-08,0.00172354,0.00170711,-0.00728635,0.0075,5,2
-1.71254e-07,-6.23991e-06,-2.5634e-08,0.00220563,0.00217476,-0.00716921,0.0075,6,2
-1.72744e-07,-6.235e-06,-2.60325e-08,0.00245875,0.00241307,-0.00708394,0.0075,7,2
-1.7512e-07,-6.22586e-06,-2.77923e-08,0.00294084,0.00286699,-0.00692152,0.0075,8,2
-1.76925e-07,-6.22108e-06,-2.87878e-08,0.00319396,0.0030958,-0.0068133,0.0075,9,2
-1.80673e-07,-6.21078e-06,-2.97912e-08,0.00367605,0.00353161,-0.00660718,0.0075,10,2
-1.8318e-07,-6.20534e-06,-3.03723e-08,0.00392917,0.00374871,-0.00647705,0.0075,11,2
-1.87605e-07,-6.19498e-06,-3.25765e-08,0.00441126,0.00416222,-0.00622921,0.0075,12,2
-1.90479e-07,-6.18972e-06,-3.37319e-08,0.00466438,0.00436553,-0.00607843,0.0075,13,2
-1.96354e-07,-6.1782e-06,-3.51055e-08,0.00514648,0.00475275,-0.00579124,0.0075,14,2
-2.0002e-07,-6.17239e-06,-3.57914e-08,0.00539959,0.00494029,-0.00562126,0.0075,15,2
-2.06813e-07,-6.1609e-06,-3.83945e-08,0.00588169,0.0052975,-0.0052975,0.0075,16,2
-2.10959e-07,-6.15534e-06,-3.96368e-08,0.0061348,0.00546749,-0.00510996,0.0075,17,2
-2.19005e-07,-6.14295e-06,-4.1337e-08,0.0066169,0.00579124,-0.00475275,0.0075,18,2
-2.23679e-07,-6.13698e-06,-4.216e-08,0.00687001,0.00594202,-0.00454945,0.0075,19,2
-2.3299e-07,-6.12515e-06,-4.48844e-08,0.00735211,0.00622921,-0.00416222,0.0075,20,2
-2.38176e-07,-6.11963e-06,-4.62091e-08,0.00760522,0.00635933,-0.00394512,0.0075,21,2
-2.48417e-07,-6.10689e-06,-4.80392e-08,0.00808732,0.00660718,-0.00353161,0.0075,22,2
-2.54002e-07,-6.10102e-06,-4.89035e-08,0.00834043,0.0067154,-0.0033028,0.0075,23,2
-2.65365e-07,-6.0893e-06,-5.173e-08,0.00882253,0.00692152,-0.00286699,0.0075,24,2
-2.71311e-07,-6.08406e-06,-5.30664e-08,0.00907564,0.0070068,-0.00262867,0.0075,25,2
